italo-disco.net,,SPOTIFY,,,,,,,,,,CONFRONTO
NOME,,SPOTY ARTIST,,,,,,,,,,
Love Kills,,Hot Cold,NON PRESENTE,,,,,,,,,#N/A
Marc B. - Marcel Van Den Belt,,Hypnosis,NON PRESENTE,,,,,,,,,#N/A
Mark Farina,,International Music System,NON PRESENTE,,,,,,,,,#N/A
Mark Tower,,Italian Boys,PRESENTE,,,,,,,,,56
Martinelli,,Italove,NON PRESENTE,,,,,,,,,#N/A
Max Him,,Ivana Spagna,NON PRESENTE,,,,,,,,,#N/A
Mike Mareen,,J.D. Jaber,NON PRESENTE,,,,,,,,,#N/A
Mike Cannon,,Jago / Frankye Knuckles,NON PRESENTE,,,,,,,,,#N/A
Mike Rogers,,Jock Hattle,NON PRESENTE,,,,,,,,,#N/A
Miko Mission,,Joe Yellow,PRESENTE,,,,,,,,,60
Mono Band,,Joy Peters,NON PRESENTE,,,,,,,,,#N/A
Moonray (Raggio Di Luna),,Joy Peters / V-Project,NON PRESENTE,,,,,,,,,#N/A
Morgana,,K.B. Caps,NON PRESENTE,,,,,,,,,#N/A
Moroni,,Kano,NON PRESENTE,,,,,,,,,#N/A
Moulin Rouge,,Kano / Purple Disco Machine / Lorenz Rhode,NON PRESENTE,,,,,,,,,#N/A
Mr. Zivago,,Kazino,NON PRESENTE,,,,,,,,,#N/A
Music Service,,Ken Laszlo,PRESENTE,,,,,,,,,66
Newfield,,Klein & M.B.O.,NON PRESENTE,,,,,,,,,#N/A
Norma Sheffield,,Koto,PRESENTE,,,,,,,,,68
Novecento,,La Bionda,NON PRESENTE,,,,,,,,,#N/A
O'gar,,Lama,NON PRESENTE,,,,,,,,,#N/A
O'Ryan,,Laserdance,NON PRESENTE,,,,,,,,,#N/A
P. Lion,,Latin Lover,PRESENTE,,,,,,,,,73
Paul Paul,,Lectric Workers,NON PRESENTE,,,,,,,,,#N/A
Phil And Stan,,Lee Marrow,PRESENTE,,,,,,,,,75
Phil jones,,Lian Ross,NON PRESENTE,,,,,,,,,#N/A
Primadonna,,Lime,NON PRESENTE,,,,,,,,,#N/A
Queen Martin,,Linda Jo Rizzo,NON PRESENTE,,,,,,,,,#N/A
R. Bais ,,Linda Jo Rizzo / Alessandro Morgan,NON PRESENTE,,,,,,,,,#N/A
Raff,,London Boys,NON PRESENTE,,,,,,,,,#N/A
Raggio Di Luna (Moonray),,Loui$,NON PRESENTE,,,,,,,,,#N/A
Raimunda Navarro,,M & G,NON PRESENTE,,,,,,,,,#N/A
Reeds,,Magazine 60,NON PRESENTE,,,,,,,,,#N/A
Rose,,Marli Blu / Marco Moschino,NON PRESENTE,,,,,,,,,#N/A
Rose,,Martinelli / Gatto,NON PRESENTE,,,,,,,,,#N/A
Roy,,Max Him,PRESENTE,,,,,,,,,81
Rudy & Co.,,Michael Bedford,NON PRESENTE,,,,,,,,,#N/A
Ryan Paris,,Mike Cannon,PRESENTE,,,,,,,,,83
Ryvon DJ,,Mike Mareen,PRESENTE,,,,,,,,,82
Sabrina,,Miko Mission,PRESENTE,,,,,,,,,85
Salvy & Giuly,,Miquel Brown,NON PRESENTE,,,,,,,,,#N/A
Savage,,Modern Rocketry,NON PRESENTE,,,,,,,,,#N/A
Scotch,,Monte Kristo,NON PRESENTE,,,,,,,,,#N/A
Si Si Caps,,Moon Ray / Gatto / Martinelli,NON PRESENTE,,,,,,,,,#N/A
Silver Pozzoli,,Mozzart,NON PRESENTE,,,,,,,,,#N/A
Sophie,,Mr Master,NON PRESENTE,,,,,,,,,#N/A
Spagna,,Mr. Flagio,NON PRESENTE,,,,,,,,,#N/A
Stargo,,Mr. Zivago,PRESENTE,,,,,,,,,91
Swan,,My Mine,NON PRESENTE,,,,,,,,,#N/A
T. Ark,,N.O.I.A.,NON PRESENTE,,,,,,,,,#N/A
Tato,,New Baccara,NON PRESENTE,,,,,,,,,#N/A
Telex News,,Nightlife Unlimited,NON PRESENTE,,,,,,,,,#N/A
Tess Teiges,,Oh Romeo,NON PRESENTE,,,,,,,,,#N/A
Thomas,,P. Lion,PRESENTE,,,,,,,,,98
Tom Hooker,,P. Lion / Stereoact,NON PRESENTE,,,,,,,,,#N/A
Topo & Roby,,Patrick Cowley / Sylvester,NON PRESENTE,,,,,,,,,#N/A
Topo & Roby,,Patty Ryan,NON PRESENTE,,,,,,,,,#N/A
Turatti,,Paul Parker,NON PRESENTE,,,,,,,,,#N/A
Valentina,,Paul Parker / Patrick Cowley,NON PRESENTE,,,,,,,,,#N/A
Valerie Dore,,Paul Paul,PRESENTE,,,,,,,,,99
Valerie Dore,,Paul Sharada,NON PRESENTE,,,,,,,,,#N/A
