ID,LABEL,Categoria,Image,Streaming,youtube off
"BigMama - ""La rabbia non ti basta""","BigMama - ""La rabbia non ti basta""",Brano,bigmama-886x494.jpg,9223929,"
2537627"
"Bnkr44 - ""Governo Punk""","Bnkr44 - ""Governo Punk""",Brano,bnkr44-886x494.jpg,12403853,1906051
"Clara - ""Diamanti grezzi""","Clara - ""Diamanti grezzi""",Brano,clara-886x494.jpg,19285207,6335393
"Dargen D'Amico - ""Onda alta""","Dargen D'Amico - ""Onda alta""",Brano,dargen-damico-886x494.jpg,18149935,4566553
"Diodato - ""Ti muovi""","Diodato - ""Ti muovi""",Brano,diodato-886x494.jpg,8485578,3152535
"Emma - ""Apnea""","Emma - ""Apnea""",Brano,emma-886x494.jpg,17853675,8347457
"Fiorella Mannoia - ""Mariposa""","Fiorella Mannoia - ""Mariposa""",Brano,mannoia-886x494.jpg,8595190,4110363
"Gazzelle - ""Tutto qui""","Gazzelle - ""Tutto qui""",Brano,gazzelle-886x494,21413130,"
2935359"
"Geolier - ""I p' me, tu p' te""","Geolier - ""I p' me, tu p' te""",Brano,geolier-886x494.jpg,56468318,29623416
"Ghali - ""Casa mia""","Ghali - ""Casa mia""",Brano,ghali-886x494.jpg,37423751,"
24064473 "
"Il Tre - ""Fragili""","Il Tre - ""Fragili""",Brano,il-tre-886x494.jpg,15623832,2727255
"Il Volo - ""Capolavoro""","Il Volo - ""Capolavoro""",Brano,il-volo-886x494.jpg,9806542,"
6771938"
"Irama - ""Tu no""","Irama - ""Tu no""",Brano,irama-886x494.jpg,28749455,16751089
"La Sad - ""Autodistruttivo""","La Sad - ""Autodistruttivo""",Brano,la-sad-886x494.jpg,16127528,2913895
"Loredana Berté - ""Pazza""","Loredana Berté - ""Pazza""",Brano,loredana-berte-886x494.jpg,15110616,"
10121643"
"Mahmood - ""Tuta gold""","Mahmood - ""Tuta gold""",Brano,mahmood-886x494.jpg,61957219,41462604
"Maninni - ""Spettacolare""","Maninni - ""Spettacolare""",Brano,maninni-886x494.jpg,5941907,1438631
"Mr.Rain - ""Due altalene""","Mr.Rain - ""Due altalene""",Brano,mr-rain-886x494.jpg,16044002,5180356
"Negramaro - ""Ricominciamo tutto""","Negramaro - ""Ricominciamo tutto""",Brano,negramaro-886x494.jpg,7272664,1825502
"Renga Nek - ""Pazzo di te""","Renga Nek - ""Pazzo di te""",Brano,renga-nek-886x494.jpg,5087038,1285063
"Ricchi e Poveri - ""Ma non tutta la vita""","Ricchi e Poveri - ""Ma non tutta la vita""",Brano,ricchi-poveri-886x494.jpg,17483656,11958737
"Rose Villain - ""Click boom!""","Rose Villain - ""Click boom!""",Brano,rose-villain-886x494.jpg,27183057,11601591
"Sangiovanni - ""Finiscimi""","Sangiovanni - ""Finiscimi""",Brano,sangiovanni-886x494.jpg,8039746,1370753
"Santi Francesi - ""L'amore in bocca""","Santi Francesi - ""L'amore in bocca""",Brano,santi-francesi-886x494.jpg,9173055,2380778
"The Kolors - ""Un ragazzo una ragazza""","The Kolors - ""Un ragazzo una ragazza""",Brano,the-kolors-886x494.jpg,26444840,13459349
"Fred De Palma - ""Il cielo non ci vuole""","Fred De Palma - ""Il cielo non ci vuole""",Brano,fred-de-palma-886x494.jpg,7399037,1540569
ABBATE FEDERICA - (CO),ABBATE FEDERICA ,Compositore Originale (CO),,,
ABBATE FEDERICA - (CO),ABBATE FEDERICA,Compositore Originale (CO),,,
ADAMO JACOPO - (CO),ADAMO JACOPO,Compositore Originale (CO),,,
AMDOUNI GHALI - (CO),AMDOUNI GHALI,Compositore Originale (CO),,,
ANTONACCI PAOLO - (CO),ANTONACCI PAOLO,Compositore Originale (CO),,,
APRILI FRANCESCO MARIA - (CO),APRILI FRANCESCO MARIA,Compositore Originale (CO),,,
BALARDI MATTIA - (CO),BALARDI MATTIA,Compositore Originale (CO),,,
BERTE' LOREDANA - (CO),BERTE' LOREDANA,Compositore Originale (CO),,,
BESTONZO DANIEL GABRIEL - (CO),BESTONZO DANIEL GABRIEL,Compositore Originale (CO),,,
BONOMO ANDREA - (CO),BONOMO ANDREA,Compositore Originale (CO),,,
BOTTICINI MATTEO - (CO),BOTTICINI MATTEO,Compositore Originale (CO),,,
